dataset,BERT,QL,QL+BERT
LB2-long,0.48298176123802505,0.9434874723655121,0.8723286661753868
LB2-medium,0.515542559277859,0.9338567160383955,0.8783929820100439
LB2-short,0.4395500135538086,0.9362970994849553,0.8904174573055028
LNC1-long,0.4990810629250084,0.5003184592277126,0.499987721099429
LNC1-medium,0.49926691517991295,0.5004480427178639,0.5002729215436242
LNC1-short,0.49918001449456323,0.5001855801837265,0.5000025745227801
LNC2-long,0.5744972577696527,0.007769652650822669,0.3944241316270567
LNC2-medium,0.5165103954341622,0.0,0.30778638401956787
LNC2-short,0.48695652173913045,0.0,0.25521739130434784
MTDC-long,0.5300207039337475,0.525879917184265,0.5175983436853002
MTDC-medium,0.5076645626690712,0.5500450856627592,0.5446348061316502
MTDC-short,0.5216124332200097,0.5760077707625061,0.5842642059252064
STMC1-long,0.4760385661591922,0.4688893003118903,0.4834726633151516
STMC1-medium,0.4742878659895584,0.4769440571539064,0.4838745789275501
STMC1-short,0.4643529454519025,0.4653414253007232,0.4700730457535342
STMC2-long,0.4994584291960277,0.5753626465329756,0.5484049302368226
STMC2-medium,0.48928418982481026,0.5888238203237943,0.5625870520252213
STMC2-short,0.48368806324680924,0.6097866467889672,0.5846169105864207
STMC3-long,0.4494953921244767,0.5306472598814829,0.507638219411729
STMC3-medium,0.4493245881158741,0.5215266891303434,0.5067661315026037
STMC3-short,0.44781696790817077,0.5155785118084455,0.5053288665126057
TFC1-long,0.5513808667712198,0.7376544390467812,0.7123608614160578
TFC1-medium,0.5218271458376708,0.7478682264973355,0.7115405911823204
TFC1-short,0.5222075148367442,0.7681200979098944,0.7310253698576086
TFC2-long,0.35029455816275584,0.40694957563654516,0.3798302546180729
TFC2-medium,0.335019330149544,0.4412214458795022,0.40093004289489576
TFC2-short,0.35687511896569396,0.4404219804676633,0.4041539159845967
TPC-long,0.43258985850680937,0.46520701063430886,0.45478059245012536
TPC-medium,0.4518464661725131,0.44244275529956095,0.43907180964071574
TPC-short,0.4507929368918856,0.4256217286529268,0.42302990224431203
